[Testování Temporary Voice Kanálů] | [verify] | [Danix25#8367] @ 2021-05-23 15:14:41.443000: !bal
[Testování Temporary Voice Kanálů] | [verify] | [TemporaryVoice#2907] @ 2021-05-23 15:14:41.795000: 
[Testování Temporary Voice Kanálů] | [verify] | [Danix25#8367] @ 2021-05-23 15:14:44.438000: !clear 100
[Testování Temporary Voice Kanálů] | [verify] | [TemporaryVoice#2907] @ 2021-05-23 15:14:45.015000: Bylo smazáno **100** zpráv. Uživatelem **Danix25#8367**
[Testování Temporary Voice Kanálů] | [verify] | [Danix25#8367] @ 2021-05-23 15:14:53.078000: !clear 9999999999999999999
[Testování Temporary Voice Kanálů] | [verify] | [TemporaryVoice#2907] @ 2021-05-23 15:14:57.311000: Bylo smazáno **9999999999999999999** zpráv. Uživatelem **Danix25#8367**
[Testování Temporary Voice Kanálů] | [mod-log] | [Danix25#8367] @ 2021-05-23 15:15:22.267000: !help
[Testování Temporary Voice Kanálů] | [mod-log] | [TemporaryVoice#2907] @ 2021-05-23 15:15:22.528000: 
[Testování Temporary Voice Kanálů] | [mod-log] | [MEE6#4876] @ 2021-05-23 15:15:22.754000: 
[Testování Temporary Voice Kanálů] | [mod-log] | [Danix25#8367] @ 2021-05-23 16:05:40.555000: !giveaway 10 <@&845307860107788379>
[Testování Temporary Voice Kanálů] | [mod-log] | [Danix25#8367] @ 2021-05-23 16:05:40.555000: !giveaway 10 <@&845307860107788379>
[Testování Temporary Voice Kanálů] | [mod-log] | [Danix25#8367] @ 2021-05-23 16:05:53.680000: !giveaway
[Testování Temporary Voice Kanálů] | [mod-log] | [Danix25#8367] @ 2021-05-23 16:05:53.680000: !giveaway
[Testování Temporary Voice Kanálů] | [mod-log] | [Danix25#8367] @ 2021-05-23 16:06:07.778000: !giveaway 10s <@&845307860107788379>
[Testování Temporary Voice Kanálů] | [mod-log] | [Danix25#8367] @ 2021-05-23 16:06:07.778000: !giveaway 10s <@&845307860107788379>
[Testování Temporary Voice Kanálů] | [mod-log] | [Danix25#8367] @ 2021-05-23 16:07:01.839000: !giveaway 10s <@&845307860107788379>
[Testování Temporary Voice Kanálů] | [mod-log] | [Danix25#8367] @ 2021-05-23 16:07:01.839000: !giveaway 10s <@&845307860107788379>
[Testování Temporary Voice Kanálů] | [mod-log] | [Danix25#8367] @ 2021-05-23 16:07:05.509000: !giveaway
[Testování Temporary Voice Kanálů] | [mod-log] | [Danix25#8367] @ 2021-05-23 16:07:05.509000: !giveaway
[Testování Temporary Voice Kanálů] | [mod-log] | [Danix25#8367] @ 2021-05-23 16:07:41.987000: !giveaway 10 VIP
[Testování Temporary Voice Kanálů] | [mod-log] | [Danix25#8367] @ 2021-05-23 16:07:41.987000: !giveaway 10 VIP
[Testování Temporary Voice Kanálů] | [mod-log] | [Danix25#8367] @ 2021-05-23 16:17:23.830000: !gstart 10 nothing
[Testování Temporary Voice Kanálů] | [mod-log] | [Danix25#8367] @ 2021-05-23 16:17:23.830000: !gstart 10 nothing
[Testování Temporary Voice Kanálů] | [mod-log] | [TemporaryVoice#2907] @ 2021-05-23 16:17:23.913000: 
[Testování Temporary Voice Kanálů] | [mod-log] | [Danix25#8367] @ 2021-05-23 16:45:24.524000: !gstart
[Testování Temporary Voice Kanálů] | [mod-log] | [Danix25#8367] @ 2021-05-23 16:45:24.524000: !gstart
[Testování Temporary Voice Kanálů] | [mod-log] | [Danix25#8367] @ 2021-05-23 16:45:27.695000: !giveaway
[Testování Temporary Voice Kanálů] | [mod-log] | [Danix25#8367] @ 2021-05-23 16:45:27.695000: !giveaway
[Testování Temporary Voice Kanálů] | [mod-log] | [TemporaryVoice#2907] @ 2021-05-23 16:45:27.949000: Pojďme začít s nastavením soutěže. Budou ti položeny otázky a ty na ně musíš odpovědět do 15 vteřin
[Testování Temporary Voice Kanálů] | [mod-log] | [TemporaryVoice#2907] @ 2021-05-23 16:45:27.949000: Pojďme začít s nastavením soutěže. Budou ti položeny otázky a ty na ně musíš odpovědět do 15 vteřin
[Testování Temporary Voice Kanálů] | [mod-log] | [TemporaryVoice#2907] @ 2021-05-23 16:45:28.123000: Ve kterém kanálu chceš soutěž pořádat ?Jak dlouho bude trvat soutěž (s|m|h|d)O co se bude hrát (cena) ?
[Testování Temporary Voice Kanálů] | [mod-log] | [TemporaryVoice#2907] @ 2021-05-23 16:45:28.123000: Ve kterém kanálu chceš soutěž pořádat ?Jak dlouho bude trvat soutěž (s|m|h|d)O co se bude hrát (cena) ?
[Testování Temporary Voice Kanálů] | [mod-log] | [Danix25#8367] @ 2021-05-23 16:45:38.604000: <#845559318727753768>
[Testování Temporary Voice Kanálů] | [mod-log] | [Danix25#8367] @ 2021-05-23 16:45:38.604000: <#845559318727753768>
[Testování Temporary Voice Kanálů] | [mod-log] | [Danix25#8367] @ 2021-05-23 16:47:18.170000: !giveaway
[Testování Temporary Voice Kanálů] | [mod-log] | [TemporaryVoice#2907] @ 2021-05-23 16:47:18.388000: Pojďme začít s nastavením soutěže. Budou ti položeny otázky a ty na ně musíš odpovědět do 15 vteřin
[Testování Temporary Voice Kanálů] | [mod-log] | [TemporaryVoice#2907] @ 2021-05-23 16:47:18.388000: Pojďme začít s nastavením soutěže. Budou ti položeny otázky a ty na ně musíš odpovědět do 15 vteřin
[Testování Temporary Voice Kanálů] | [mod-log] | [TemporaryVoice#2907] @ 2021-05-23 16:47:18.641000: Ve kterém kanálu chceš soutěž pořádat ?
[Testování Temporary Voice Kanálů] | [mod-log] | [TemporaryVoice#2907] @ 2021-05-23 16:47:18.641000: Ve kterém kanálu chceš soutěž pořádat ?
[Testování Temporary Voice Kanálů] | [mod-log] | [Danix25#8367] @ 2021-05-23 16:47:21.894000: <#845559318727753768>
[Testování Temporary Voice Kanálů] | [mod-log] | [Danix25#8367] @ 2021-05-23 16:47:21.894000: <#845559318727753768>
[Testování Temporary Voice Kanálů] | [mod-log] | [TemporaryVoice#2907] @ 2021-05-23 16:47:22.133000: Jak dlouho bude trvat soutěž (s|m|h|d)
[Testování Temporary Voice Kanálů] | [mod-log] | [TemporaryVoice#2907] @ 2021-05-23 16:47:22.133000: Jak dlouho bude trvat soutěž (s|m|h|d)
[Testování Temporary Voice Kanálů] | [mod-log] | [MEE6#4876] @ 2021-05-23 16:47:22.255000: GG <@798816012027559936>, you just advanced to level 1!
[Testování Temporary Voice Kanálů] | [mod-log] | [MEE6#4876] @ 2021-05-23 16:47:22.255000: GG <@798816012027559936>, you just advanced to level 1!
[Testování Temporary Voice Kanálů] | [mod-log] | [Danix25#8367] @ 2021-05-23 16:47:27.273000: 10s
[Testování Temporary Voice Kanálů] | [mod-log] | [TemporaryVoice#2907] @ 2021-05-23 16:47:27.458000: O co se bude hrát (cena) ?
[Testování Temporary Voice Kanálů] | [mod-log] | [TemporaryVoice#2907] @ 2021-05-23 16:47:27.458000: O co se bude hrát (cena) ?
[Testování Temporary Voice Kanálů] | [mod-log] | [Danix25#8367] @ 2021-05-23 16:47:32.861000: Nic
[Testování Temporary Voice Kanálů] | [mod-log] | [Danix25#8367] @ 2021-05-23 16:47:32.861000: Nic
[Testování Temporary Voice Kanálů] | [mod-log] | [TemporaryVoice#2907] @ 2021-05-23 16:47:33.119000: Soutěž proběhne v <#845559318727753768> v posledních 10s sekundách
[Testování Temporary Voice Kanálů] | [mod-log] | [TemporaryVoice#2907] @ 2021-05-23 16:47:33.119000: Soutěž proběhne v <#845559318727753768> v posledních 10s sekundách
[Testování Temporary Voice Kanálů] | [welcome] | [TemporaryVoice#2907] @ 2021-05-23 16:47:33.315000: 
[Testování Temporary Voice Kanálů] | [welcome] | [TemporaryVoice#2907] @ 2021-05-23 16:47:44.255000: Gratuluji! <@798816012027559936> vyhrál Nic!
[Testování Temporary Voice Kanálů] | [welcome] | [TemporaryVoice#2907] @ 2021-05-23 16:47:44.255000: Gratuluji! <@798816012027559936> vyhrál Nic!
[Testování Temporary Voice Kanálů] | [welcome] | [Danix25#8367] @ 2021-05-23 16:49:29.228000: !reroll
[Testování Temporary Voice Kanálů] | [welcome] | [Danix25#8367] @ 2021-05-23 16:49:29.228000: !reroll
[Testování Temporary Voice Kanálů] | [welcome] | [Danix25#8367] @ 2021-05-23 16:55:37.454000: !help
[Testování Temporary Voice Kanálů] | [welcome] | [Danix25#8367] @ 2021-05-23 16:55:37.454000: !help
[Testování Temporary Voice Kanálů] | [welcome] | [TemporaryVoice#2907] @ 2021-05-23 16:55:37.588000: 
[Testování Temporary Voice Kanálů] | [welcome] | [TemporaryVoice#2907] @ 2021-05-23 16:55:37.588000: 
[Testování Temporary Voice Kanálů] | [welcome] | [Danix25#8367] @ 2021-05-23 17:29:57.473000: .new Ticket
[Testování Temporary Voice Kanálů] | [welcome] | [Danix25#8367] @ 2021-05-23 17:29:57.473000: .new Ticket
[Testování Temporary Voice Kanálů] | [welcome] | [Danix25#8367] @ 2021-05-23 17:30:02.277000: !new Ticket
[Testování Temporary Voice Kanálů] | [welcome] | [Danix25#8367] @ 2021-05-23 17:30:02.277000: !new Ticket
[Testování Temporary Voice Kanálů] | [welcome] | [Danix25#8367] @ 2021-05-23 17:30:42.186000: !new Ticket
